"filedate","tractid","countyfp10","totalfilings"
"01/17/2020","13121009700","121",1
"01/17/2020","13121010002","121",2
"01/17/2020","13121010108","121",3
"01/17/2020","13121010110","121",1
"01/17/2020","13121010113","121",1
"01/17/2020","13121010117","121",1
"01/17/2020","13121010118","121",18
"01/17/2020","13121010212","121",1
"01/17/2020","13121010301","121",5
"01/17/2020","13121010303","121",23
"01/17/2020","13121010304","121",2
"01/17/2020","13121010400","121",2
"01/17/2020","13121010507","121",4
"01/17/2020","13121010510","121",11
"01/17/2020","13121010511","121",1
"01/17/2020","13121010512","121",1
"01/17/2020","13121010513","121",1
"01/17/2020","13121010514","121",4
"01/17/2020","13121010515","121",2
"01/17/2020","13121010516","121",1
"01/17/2020","13121010601","121",4
"01/17/2020","13121010603","121",7
"01/17/2020","13121010604","121",18
"01/17/2020","13121011201","121",1
"01/17/2020","13121011202","121",5
"01/17/2020","13121011301","121",1
"01/17/2020","13121011303","121",3
"01/17/2020","13121011305","121",5
"01/17/2020","13121011306","121",6
"01/17/2020","13121011412","121",1
"01/17/2020","13121011414","121",1
"01/17/2020","13121011420","121",5
"01/17/2020","13121011611","121",1
"01/17/2020","13121011800","121",1
"01/17/2020","13121011900","121",2
"01/17/2020","13121012000","121",1
"01/20/2020","13121000100","121",2
"01/20/2020","13121001900","121",1
"01/20/2020","13121003500","121",1
"01/20/2020","13121003600","121",1
"01/20/2020","13121003900","121",1
"01/20/2020","13121004900","121",2
"01/20/2020","13121005700","121",1
"01/20/2020","13121006200","121",1
"01/20/2020","13121007002","121",4
"01/20/2020","13121007400","121",6
"01/20/2020","13121007604","121",1
"01/20/2020","13121007704","121",4
"01/20/2020","13121007706","121",2
"01/20/2020","13121007806","121",2
"01/20/2020","13121008102","121",4
"01/20/2020","13121008201","121",1
"01/20/2020","13121008800","121",1
"01/20/2020","13121008902","121",3
"01/20/2020","13121009602","121",1
"01/20/2020","13121010110","121",7
"01/20/2020","13121010301","121",1
"01/20/2020","13121010304","121",1
"01/20/2020","13121010507","121",8
"01/20/2020","13121010510","121",1
"01/20/2020","13121010511","121",1
"01/20/2020","13121010512","121",4
"01/20/2020","13121010516","121",1
"01/20/2020","13121010603","121",26
"01/20/2020","13121011305","121",16
"01/20/2020","13121011420","121",1
"01/20/2020","13121011614","121",1
"01/20/2020","13121012300","121",1
"01/21/2020","13121001201","121",2
"01/21/2020","13121001202","121",9
"01/21/2020","13121001300","121",1
"01/21/2020","13121001700","121",1
"01/21/2020","13121002300","121",2
"01/21/2020","13121002400","121",1
"01/21/2020","13121002500","121",1
"01/21/2020","13121004300","121",1
"01/21/2020","13121005800","121",1
"01/21/2020","13121006300","121",2
"01/21/2020","13121007001","121",1
"01/21/2020","13121007002","121",1
"01/21/2020","13121007300","121",2
"01/21/2020","13121007500","121",2
"01/21/2020","13121007602","121",4
"01/21/2020","13121007603","121",2
"01/21/2020","13121007604","121",1
"01/21/2020","13121007704","121",4
"01/21/2020","13121007805","121",2
"01/21/2020","13121007806","121",1
"01/21/2020","13121007900","121",2
"01/21/2020","13121008102","121",2
"01/21/2020","13121008202","121",1
"01/21/2020","13121008400","121",4
"01/21/2020","13121008800","121",3
"01/21/2020","13121008902","121",1
"01/21/2020","13121008903","121",1
"01/21/2020","13121009102","121",6
"01/21/2020","13121009200","121",6
"01/21/2020","13121009602","121",2
"01/21/2020","13121009603","121",1
"01/21/2020","13121009700","121",1
"01/21/2020","13121010113","121",11
"01/21/2020","13121010118","121",11
"01/21/2020","13121010123","121",14
"01/21/2020","13121010301","121",1
"01/21/2020","13121010507","121",2
"01/21/2020","13121010510","121",5
"01/21/2020","13121010512","121",10
"01/21/2020","13121010513","121",10
"01/21/2020","13121010515","121",1
"01/21/2020","13121010604","121",1
